,task,input,output
30328,orthography_starts_with,It was not until I was perhaps twenty five or thirty that I read and enjoyed them. [e],enjoyed
31694,orthography_starts_with,"Because the bus drivers were on strike, the commuters travelled by army lorry. [o]",on
31387,orthography_starts_with,Brenda and Molly haggled about the party. [p],party
31170,orthography_starts_with,liked ice cream. [i],ice
30674,orthography_starts_with,Springfield would have built a police station with the federal grant. [t],the
31028,orthography_starts_with,"Enrico, and he is the smartest of us all, got the answer in seven seconds. [a]",and all answer
30681,orthography_starts_with,I wonder in which pocket it was that Kim had hidden the jewels. [w],wonder which was
30551,orthography_starts_with,Robert knew that it was necessary to behave himself. [t],that to
30955,orthography_starts_with,The butler polished the silver. [p],polished
30136,orthography_starts_with,This hat it is certain that he was wearing. [c],certain
30976,orthography_starts_with,The outcome depends on how many candidates participate in the election. [o],outcome on
31405,orthography_starts_with,John has a hole in the upper right hand corner of his quilt. [a],a
29063,orthography_starts_with,That picture of her pleases Jenny. [h],her
30022,orthography_starts_with,A fellow student saw this felt sorry for Miss Kim and offered her his own book. [a],a and
31846,orthography_starts_with,An oak tree will grow from that acorn. [g],grow
30721,orthography_starts_with,Birds sang in the trees. [t],the trees
29688,orthography_starts_with,Will George indeed not endorse the treaty? [g],george
30773,orthography_starts_with,What John told us is that he wants to quit school. [w],what wants
31579,orthography_starts_with,John bought a book for the student. [j],john
30687,orthography_starts_with,Martha carved beautiful toys out of this wood. [o],out of
30959,orthography_starts_with,"Keep your mouth shut tighter, the more John eats, OK? [t]",tighter the
30042,orthography_starts_with,We believed John to try to leave the country. [w],we
29294,orthography_starts_with,Who do you think Mary said John likes? [d],do
30470,orthography_starts_with,They ignored the suggestion that Lee lied. [l],lee lied
29693,orthography_starts_with,What Medea arranged was for her children to be poisoned. [c],children
30641,orthography_starts_with,"The money which I will have a chance to squander amounts to , . [m]",money
29987,orthography_starts_with,What this girl in the red coat will do is put a picture of Bill on your desk before tomorrow. [y],your
29847,orthography_starts_with,Bill dried the clothes. [b],bill
30401,orthography_starts_with,For him to eat asparagus is a travesty. [t],to travesty
29550,orthography_starts_with,"Tonight, what Bob cooked yesterday still tastes good, so tonight it will be eaten up. [b]",bob be
29328,orthography_starts_with,"Reagan, whom the Republicans nominated in , lived most of his life in California. [w]",whom
30878,orthography_starts_with,That John passed surprised her. [j],john
30079,orthography_starts_with,John made Kim a great doll. [g],great
30140,orthography_starts_with,I threw the ball to the other side of the field. [b],ball
30063,orthography_starts_with,He is John. [h],he
29775,orthography_starts_with,Cakes were given to Margaret every Friday by the pupils in this maths class. [w],were
29938,orthography_starts_with,John heard their criticism of each other. [h],heard
31438,orthography_starts_with,The book of poems with a red cover from Blackwell by Robert Burns takes a very long time to read. [c],cover
30966,orthography_starts_with,I knew the man with the brown hair. [h],hair
31613,orthography_starts_with,There were five tourists in the room apart from myself. [a],apart
30545,orthography_starts_with,Where did the policeman meet several young students? [w],where
30908,orthography_starts_with,That they have completed the course is amazing. [i],is
30427,orthography_starts_with,To my friends Mike talked about politics yesterday. [y],yesterday
30389,orthography_starts_with,"If you give any senator enough opportunity, he will succumb to corruption. [c]",corruption
29104,orthography_starts_with,Who did he believe that he would one day meet? [w],who would
30945,orthography_starts_with,I considered Fred crazy. [f],fred
29691,orthography_starts_with,Fred tore the curtain in roiling it up. [r],roiling
31849,orthography_starts_with,We put a book on the table. [b],book
29315,orthography_starts_with,The motor that Martha thinks that Joe replaced costs thirty dollars. [d],dollars
31611,orthography_starts_with,I spared him the trouble. [i],i
30956,orthography_starts_with,John tries to be easy to get along with. [b],be
31627,orthography_starts_with,I read him two statements about himself. [a],about
29887,orthography_starts_with,Bill wants Susan to leave. [t],to
31558,orthography_starts_with,There remained just a few problems to be solved. [j],just
29572,orthography_starts_with,Do some of your relatives live nearby? [r],relatives
30988,orthography_starts_with,That I should evaporate is my fondest dream [s],should
29868,orthography_starts_with,Ronald scoffs at the belief that he would run if nominated. [s],scoffs
29204,orthography_starts_with,John rolled the ball down the hill perfectly. [d],down
31489,orthography_starts_with,John promised Bill to leave. [l],leave
29796,orthography_starts_with,They wonder whether Mary will run. [m],mary
30525,orthography_starts_with,Susan wanted to sleep. [t],to
28974,orthography_starts_with,"There arrived a tall, red haired and incredibly well dressed man. [h]",haired
31883,orthography_starts_with,The president was hoping for a good cake. [g],good
30531,orthography_starts_with,"Sally is making scones, and Gillian is too. [s]",sally scones
30278,orthography_starts_with,The kennel which Mary made and Fido sleeps in has been stolen. [s],sleeps stolen
31714,orthography_starts_with,Evidence that he was drunk will be presented. [w],was will
29720,orthography_starts_with,"By law, every dog and cat in the area has to be neutered. [c]",cat
30965,orthography_starts_with,I hit the ball. [b],ball
30350,orthography_starts_with,They denied the claim that they should report only to us. [c],claim
31359,orthography_starts_with,Whether to win is a question Mary never considered. [a],a
30186,orthography_starts_with,"Playing with matches is lots of fun, but doing, so and emptying gasoline from one can to another at the same time is a sport best reserved for arsons. [o]",of one
30329,orthography_starts_with,Under the bed is a safe place to hide. [b],bed
30683,orthography_starts_with,Mary noticed that John excessively appreciates himself. [m],mary
30462,orthography_starts_with,Do be honest! [b],be
29243,orthography_starts_with,"The fact that he was sick for days, we talked about. [s]",sick
30803,orthography_starts_with,Jessica sprayed water at me. [s],sprayed
29266,orthography_starts_with,Who did you say my talking to would bother? [d],did
31807,orthography_starts_with,I am delighted that Mary finished his thesis. [h],his
29001,orthography_starts_with,The stick hit the fence. [f],fence
30447,orthography_starts_with,I gave the package to Maria. [m],maria
30344,orthography_starts_with,I did not have a red cent. [d],did
30156,orthography_starts_with,John deprived his sons of game cards. [h],his
30092,orthography_starts_with,Jewels sparkled on the crown. [t],the
30785,orthography_starts_with,Frank will eat an apple and Morgan will too. [a],an apple and
29263,orthography_starts_with,"Tom will force you to marry no student, and neither will I. [a]",and
30050,orthography_starts_with,"That he was sick, we talked about for days. [t]",that talked
31575,orthography_starts_with,It is very difficult to get an idea for a book simply from an interview. [b],book
31329,orthography_starts_with,Which pictures of Earl did he see? [w],which
29589,orthography_starts_with,Anson shot the dinosaur with his rifle in the jungle [a],anson
29710,orthography_starts_with,Rub the cloth on the baby torn. [r],rub
29652,orthography_starts_with,We reminded him of the agreement. [h],him
31291,orthography_starts_with,Mary will play the violin soon. [w],will
29180,orthography_starts_with,Herman mixed the eggs with the cream. [m],mixed
29771,orthography_starts_with,His yearbook picture gives Tom the creeps. [t],tom the
29896,orthography_starts_with,Gilgamesh loved Ishtar and Aphrodite did too [a],and aphrodite
31060,orthography_starts_with,Julia and Maria wanted to be allowed to perform a play. [a],and allowed a
29286,orthography_starts_with,I asked who did Medea poison. [m],medea
31606,orthography_starts_with,Aphrodite may quickly free the animals. [a],aphrodite animals
31599,orthography_starts_with,Jean is likely to leave. [l],likely leave
