task,input,output
sentiment,The most consistently funny of the Austin Powers films.,positive
sentiment,Director David Fincher and writer David Koepp can't sustain it.,negative
sentiment,A fifty car pileup of cliches.,negative
sentiment,"A penetrating, potent exploration of sanctimony, self-awareness, self-hatred and self-determination.",positive
sentiment,An unsophisticated sci-fi drama that takes itself all too seriously.,negative
sentiment,Allen's funniest and most likeable movie in years.,positive
sentiment,Terrible.,negative
sentiment,there is truth here,positive
sentiment,It's technically sumptuous but also almost wildly alive.,positive
sentiment,Meandering and confusing.,negative
sentiment,Dramatically lackluster.,negative
sentiment,A modest masterpiece.,positive
sentiment,Resembles a soft porn Brian De Palma pastiche.,negative
sentiment,Compellingly watchable.,positive
sentiment,A domestic melodrama with weak dialogue and biopic cliches.,negative
sentiment,It is definitely worth seeing.,positive
sentiment,An opportunity missed.,negative
sentiment,The film is full of charm.,positive
sentiment,Tends to plod.,negative
sentiment,A terrifically entertaining specimen of Spielbergian sci-fi.,positive
sentiment,Full of surprises.,positive
sentiment,Gets better after Foster leaves that little room.,positive
sentiment,"The problem, amazingly enough, is the screenplay.",negative
sentiment,"Flat, misguided comedy.",negative
sentiment,"This Orange has some juice, but it's far from fresh-squeezed.",negative
sentiment,"A quiet, disquieting triumph.",positive
sentiment,Gently humorous and touching.,positive
sentiment,It's pretentious in a way that verges on the amateurish.,negative
sentiment,"A banal, virulently unpleasant excuse for a romantic comedy.",negative
sentiment,An average kid-empowerment fantasy with slightly above-average brains.,positive
sentiment,Almost peerlessly unsettling.,negative
sentiment,As pedestrian as they come.,negative
sentiment,Surprisingly insightful,positive
sentiment,Fluffy and disposible.,negative
sentiment,"In the end, there isn't much to it.",negative
sentiment,Grant isn't Cary and Bullock isn't Katherine.,negative
sentiment,"``Sorority Boys'' was funnier, and that movie was pretty bad.",negative
sentiment,Well-made but mush-hearted.,positive
sentiment,The film is insightful about Kissinger's background and history.,positive
sentiment,It's an 88-minute highlight reel that's 86 minutes too long.,negative
sentiment,It's a sharp movie about otherwise dull subjects.,positive
sentiment,Abysmally pathetic,negative
sentiment,Quietly engaging.,positive
sentiment,A reality-snubbing hodgepodge.,negative
sentiment,Black-and-white and unrealistic.,negative
sentiment,"Strange it is, but delightfully so.",positive
sentiment,The IMAX screen enhances the personal touch of manual animation.,positive
sentiment,This is one of the outstanding thrillers of recent years.,positive
sentiment,"I liked it because it was so endlessly, grotesquely, inventive.",positive
sentiment,The chocolate factory without Charlie.,negative
sentiment,"... a gleefully grungy, hilariously wicked black comedy ...",positive
sentiment,"A taut, sobering film.",positive
sentiment,Goes on and on to the point of nausea.,negative
sentiment,Ararat feels like a book report,negative
sentiment,The film oozes craft.,positive
sentiment,A film that loses sight of its own story.,negative
sentiment,Seems like someone going through the motions.,negative
sentiment,...one resurrection too many.,negative
sentiment,... wise and elegiac ...,positive
sentiment,Troubling and powerful.,positive
sentiment,Not so much farcical as sour.,negative
sentiment,Griffin & Co. manage to be spectacularly outrageous.,positive
sentiment,A surprisingly sweet and gentle comedy.,positive
sentiment,Darkly funny and frequently insightful.,positive
sentiment,The fetid underbelly of fame has never looked uglier.,negative
sentiment,The film proves unrelentingly grim -- and equally engrossing.,positive
sentiment,The film is a verbal duel between two gifted performers.,positive
sentiment,A flawed but engrossing thriller.,positive
sentiment,"...unlikable, uninteresting, unfunny, and completely, utterly inept.",negative
sentiment,The comedy is nonexistent.,negative
sentiment,Otto-Sallies has a real filmmaker's eye.,positive
sentiment,I couldn't recommend this film more.,positive
sentiment,These are textbook lives of quiet desperation.,negative
sentiment,Often hilarious.,positive
sentiment,Probably the best case for Christianity since Chesterton and Lewis.,positive
sentiment,The action quickly sinks into by-the-numbers territory.,negative
sentiment,Fluffy neo-noir hiding behind cutesy film references.,negative
sentiment,"...an hour-and-a-half of inoffensive, unmemorable filler.",negative
sentiment,"A sham construct based on theory, sleight-of-hand, and ill-wrought hypothesis.",negative
sentiment,Your children will be occupied for 72 minutes.,positive
sentiment,Snipes is both a snore and utter tripe.,negative
sentiment,"Another week, another gross-out college comedy--ugh.",negative
sentiment,"Assured, glossy and shot through with brittle desperation.",positive
sentiment,"Brilliantly written and well-acted, Yellow Asphalt is an uncompromising film.",positive
sentiment,``Birthday Girl'' is an actor's movie first and foremost.,positive
sentiment,"Everything about The Quiet American is good, except its timing.",positive
sentiment,A gangster movie with the capacity to surprise.,positive
sentiment,A moving and not infrequently breathtaking film.,positive
sentiment,Adaptation is simply brilliant.,positive
sentiment,"A delightful, if minor, pastry of a movie.",positive
sentiment,This is one of the year's best films.,positive
sentiment,"A thoroughly enjoyable, heartfelt coming-of-age comedy.",positive
sentiment,Everyone's to blame here.,negative
sentiment,A truly wonderful tale combined with stunning animation.,positive
sentiment,...although this idea is ``new'' the results are tired.,negative
sentiment,Great over-the-top moviemaking if you're in a slap-happy mood.,positive
sentiment,A no-holds-barred cinematic treat.,positive
sentiment,Wise and deadpan humorous.,positive
sentiment,The performances are uniformly good.,positive
sentiment,Interesting and thoroughly unfaithful version of Carmen,positive
sentiment,Warm and exotic.,positive
sentiment,Crummy.,negative
sentiment,At once disarmingly straightforward and strikingly devious.,positive
sentiment,Provides a very moving and revelatory footnote to the Holocaust.,positive
sentiment,"An enthralling, entertaining feature.",positive
sentiment,Woefully pretentious.,negative
sentiment,The movie is a mess from start to finish.,negative
sentiment,Believability wasn't one of the film's virtues.,negative
sentiment,Drowning's too good for this sucker.,negative
sentiment,"An even more predictable, cliche-ridden endeavor than its predecessor.",negative
sentiment,The first Bond movie in ages that isn't fake fun.,positive
sentiment,A technical triumph and an extraordinary bore.,negative
sentiment,Its director's most substantial feature for some time.,positive
sentiment,A film that suffers because of its many excesses.,negative
sentiment,"It challenges, this nervy oddity, like modern art should.",positive
sentiment,A true-blue delight.,positive
sentiment,"An entertaining, if ultimately minor, thriller.",positive
sentiment,"insightfully written, delicately performed",positive
sentiment,"It should be doing a lot of things, but doesn't.",negative
sentiment,Ryan Gosling ... is at 22 a powerful young actor.,positive
sentiment,Two hours of junk.,negative
sentiment,Very predictable but still entertaining,positive
sentiment,An impeccable study in perversity.,positive
sentiment,"The gags, and the script, are a mixed bag.",negative
sentiment,"A dull, dumb and derivative horror film.",negative
sentiment,A small movie with a big heart.,positive
sentiment,An emotionally strong and politically potent piece of cinema.,positive
sentiment,A peculiar misfire that even Tunney can't save.,negative
sentiment,Visually captivating.,positive
sentiment,A bland animated sequel that hardly seems worth the effort.,negative
sentiment,The film can depress you about life itself.,negative
sentiment,Remarkable for its intelligence and intensity.,positive
sentiment,It is quite a vision.,positive
sentiment,"A slick, engrossing melodrama.",positive
sentiment,The worst film of the year.,negative
sentiment,The Pianist is Polanski's best film.,positive
sentiment,Alternately frustrating and rewarding.,positive
sentiment,Great character interaction.,positive
sentiment,"It looks good, but it is essentially empty.",negative
sentiment,A stylistic romp that's always fun to watch.,positive
sentiment,Runs on the pure adrenalin of Pacino's performance.,positive
sentiment,Funny and also heartwarming without stooping to gooeyness.,positive
sentiment,Schneidermeister... Makin' a fool of himself... Losin' his fan base...,negative
sentiment,"Uplifting, funny and wise.",positive
sentiment,An awkward hybrid of genres that just doesn't work.,negative
sentiment,"Despite its faults, Gangs excels in spectacle and pacing.",positive
sentiment,"The movie is amateurish, but it's a minor treat.",positive
sentiment,Fantastic!,positive
sentiment,A devastating indictment of unbridled greed and materalism.,negative
sentiment,"You watch for that sense of openness, the little surprises.",positive
sentiment,``Red Dragon'' never cuts corners.,positive
sentiment,Death might be a release.,negative
sentiment,"a bilingual charmer, just like the woman who inspired it",positive
sentiment,There is greatness here.,positive
sentiment,"It looks closely, insightfully at fragile, complex relationships.",positive
sentiment,Lacks dramatic punch and depth.,negative
sentiment,A captivating new film.,positive
sentiment,Dreary tale of middle-class angst,negative
sentiment,The performances are an absolute joy.,positive
sentiment,Both damning and damned compelling.,positive
sentiment,The gags are often a stitch.,positive
sentiment,It's refreshing to see a romance this smart.,positive
sentiment,Two-bit potboiler.,negative
sentiment,"A cultural wildcard experience: wacky, different, unusual, even nutty.",positive
sentiment,It's a masterpiece.,positive
sentiment,A well-crafted letdown.,negative
sentiment,Worth a look as a curiosity.,positive
sentiment,Smarter than its commercials make it seem.,positive
sentiment,"As a film director, LaBute continues to improve.",positive
sentiment,"It's fun, splashy and entertainingly nasty.",positive
sentiment,The Sweetest Thing leaves a bitter taste.,negative
sentiment,"Initially gripping, eventually cloying POW drama.",positive
sentiment,"An honest, sensitive story from a Vietnamese point of view.",positive
sentiment,"An inconsequential, barely there bit of piffle.",negative
sentiment,Competently directed but terminally cute drama.,positive
sentiment,Deserving of its critical backlash and more.,negative
sentiment,Strangely comes off as a kingdom more mild than wild.,positive
sentiment,Sweet and memorable film.,positive
sentiment,"It's a talking head documentary, but a great one.",positive
sentiment,A high-minded snoozer.,negative
sentiment,Two badly interlocked stories drowned by all too clever complexity.,negative
sentiment,Steadfastly uncinematic but powerfully dramatic.,positive
sentiment,"A hypnotic portrait of this sad, compulsive life.",positive
sentiment,It's just plain lurid when it isn't downright silly.,negative
sentiment,...too sappy for its own good.,negative
sentiment,Represents the depths to which the girls-behaving-badly film has fallen.,negative
sentiment,A film that will enthrall the whole family.,positive
sentiment,"A real winner -- smart, funny, subtle, and resonant.",positive
sentiment,"Efficient, suitably anonymous chiller.",positive
sentiment,An engrossing and infectiously enthusiastic documentary.,positive
